# PD works (author d.<=1930) with a SINGLE Project Gutenberg id + P747, not yet done.
# Feed: python projects/isbn_cleanup/curate_pd_works.py --file output/pd_single_gutenberg_todo.txt --no-first-edition --save
Q2420223	2343(en/Text)	The Adventure of Wisteria Lodge
Q24402	1704(en/Text)	Pierrette
Q2443714	4240(en/Text)	Women in Love
Q2446784	2346(en/Text)	The Adventure of the Bruce-Partington Plans
Q2449570	9182(en/Text)	Villette
Q2451675	4705(en/Text)	A Treatise of Human Nature
Q2453239	4274(en/Text)	Wives and Daughters
Q2456670	3011(en/Text)	The Lady of the Lake
Q2463076	1900(en/Text)	Typee
Q2465530	57787(it/Text)	Orlando Innamorato
Q2465752	1164(en/Text)	The Iron Heel
Q2466799	2349(en/Text)	The Adventure of the Devil's Foot
Q2466956	773(en/Text)	Lord Arthur Savile's Crime
Q2469230	7853(en/Text)	Quentin Durward
Q2470642	44139(fr/Text)	Le Calvaire
Q2485789	27884(en/Text)	Niels Klim's Underground Travels
Q2496854	6994(fr/Text)	Han d'Islande
Q24971199	75840(en/Text)	The Trail of the Serpent
Q2534897	63445(en/Text)	Indiana
Q2543893	1432(en/Text)	Séraphîta
Q2564464	1481(en/Text)	Une fille d'Ève
Q2573817	2350(en/Text)	His Last Bow
Q2600597	1606(en/Text)	Kenilworth
Q2600909	3268(en/Text)	The Mysteries of Udolpho
Q2604590	5228(en/Text)	Ayesha
Q2605035	621(en/Text)	The Varieties of Religious Experience
Q2607078	2153(en/Text)	Mary Barton
Q2610567	14200(en/Text)	La Faute de l'Abbé Mouret
Q2615930	864(en/Text)	The Master of Ballantrae
Q26193	19200(en/Text)	The Protocols of the Elders of Zion
Q2631465	1921(en/Text)	Les Chouans
Q2634129	21970(en/Text)	The Scarlet Plague
Q2637037	1596(en/Text)	Smoke Bellew
Q264143	1080(en/Text)	A Modest Proposal
Q264241	57145(fi/Text)	Gorgias
Q265546	1661(en/Text)	A Scandal in Bohemia
Q2659564	601(en/Text)	The Monk
Q2660166	126(en/Text)	The Poison Belt
